Date,Post_type,Impressions (organic),Impressions (total),Unique impressions (organic),Clicks (organic),Clicks (total),Likes (organic),Likes (total),Comments (organic),Comments (total),Shares (organic),Shares (total),Enagagement_rate (organic),Enagagement_rate (total),Platform,Performance_Category
11/04/2025,                    Image,358,358,98,7,7,13,13,0,0,0,0,0.055865922,0.055865922,          Linkedin,Low
11/05/2025,                    Image,380,380,115,14,14,19,19,0,0,0,0,0.086842105,0.086842105,          Linkedin,Low
11/06/2025,                    Image,389,389,93,51,51,11,11,0,0,0,0,0.159383033,0.159383033,          Linkedin,Low
11/07/2025,               Document,334,334,78,26,26,13,13,0,0,0,0,0.116766467,0.116766467,          Linkedin,Low
11/08/2025,                    Image,337,337,81,7,7,17,17,0,0,0,0,0.071216617,0.071216617,          Linkedin,Low
11/09/2025,                    Image,148,148,47,9,9,3,3,0,0,0,0,0.081081081,0.081081081,          Linkedin,Low
11/10/2025,                    Image,228,228,59,3,3,7,7,0,0,0,0,0.043859649,0.043859649,          Linkedin,Low
11/11/2025,               Document,177,177,65,17,17,8,8,0,0,0,0,0.141242938,0.141242938,          Linkedin,Low
11/12/2025,                    Image,413,413,75,41,41,10,10,0,0,0,0,0.123486683,0.123486683,          Linkedin,Low
11/13/2025,                    Image,214,214,27,13,13,1,1,0,0,0,0,0.065420561,0.065420561,          Linkedin,Low
11/14/2025,                    Image,250,250,71,12,12,10,10,0,0,0,0,0.088,0.088,          Linkedin,Low
11/15/2025,                    Image,99,99,34,10,10,2,2,0,0,0,0,0.121212121,0.121212121,          Linkedin,Low
11/16/2025,                    Image,210,210,59,34,34,10,10,0,0,0,0,0.20952381,0.20952381,          Linkedin,Medium
11/17/2025,               Document,184,184,70,70,70,10,10,0,0,0,0,0.434782609,0.434782609,          Linkedin,Medium
11/18/2025,               Document,175,175,64,37,37,5,5,0,0,0,0,0.24,0.24,          Linkedin,Medium
11/19/2025,                     Image,185,185,66,58,58,12,12,0,0,0,0,0.378378378,0.378378378,          Linkedin,Medium
11/20/2025,               Document,380,380,70,52,52,16,16,0,0,0,0,0.178947368,0.178947368,          Linkedin,Low
11/21/2025,               Document,193,193,63,34,34,10,10,0,0,0,0,0.227979275,0.227979275,          Linkedin,Medium
11/22/2025,               Document,263,263,66,94,94,17,17,0,0,0,0,0.422053232,0.422053232,          Linkedin,Medium
11/23/2025,                    Image,138,138,33,32,32,2,2,0,0,0,0,0.246376812,0.246376812,          Linkedin,Medium
11/24/2025,                    Image,322,322,59,29,29,12,12,0,0,0,0,0.127329193,0.127329193,          Linkedin,Low
11/25/2025,               Document,370,370,59,60,60,8,8,0,0,0,0,0.183783784,0.183783784,          Linkedin,Low
11/26/2025,                    Video,239,239,75,47,47,5,5,0,0,0,0,0.217573222,0.217573222,          Linkedin,Medium
11/27/2025,                    Image,261,261,45,35,35,1,1,0,0,0,0,0.137931034,0.137931034,          Linkedin,Low
11/28/2025,               Document,303,303,52,82,82,6,6,0,0,0,0,0.290429043,0.290429043,          Linkedin,Medium
11/29/2025,                    Video,210,210,73,17,17,3,3,0,0,0,0,0.095238095,0.095238095,          Linkedin,Low
11/30/2025,               Document,104,104,38,33,33,4,4,0,0,0,0,0.355769231,0.355769231,          Linkedin,Medium
12/01/2025,                    Image,376,376,53,53,53,3,3,0,0,0,0,0.14893617,0.14893617,          Linkedin,Low
12/02/2025,                    Image,246,246,54,29,29,5,5,0,0,0,0,0.138211382,0.138211382,          Linkedin,Low
12/03/2025,                    Image,110,110,27,17,17,0,0,0,0,0,0,0.154545455,0.154545455,          Linkedin,Low
12/04/2025,                    Image,66,66,21,1,1,0,0,0,0,0,0,0.015151515,0.015151515,          Linkedin,Low
12/05/2025,                   Video,215,215,54,6,6,4,4,0,0,0,0,0.046511628,0.046511628,          Linkedin,Low
12/06/2025,                    Image,229,229,56,9,9,8,8,0,0,0,0,0.074235808,0.074235808,          Linkedin,Low
12/07/2025,                    Image,162,162,59,8,8,7,7,0,0,0,0,0.092592593,0.092592593,          Linkedin,Low
12/08/2025,                    Video,307,307,62,21,21,19,19,0,0,0,0,0.13029316,0.13029316,          Linkedin,Low
12/09/2025,                    Image,275,275,73,14,14,6,6,0,0,0,0,0.072727273,0.072727273,          Linkedin,Low
12/10/2025,                    Image,281,281,73,5,5,9,9,0,0,0,0,0.049822064,0.049822064,          Linkedin,Low
12/11/2025,                    Video,233,233,57,25,25,14,14,0,0,0,0,0.167381974,0.167381974,          Linkedin,Low
12/12/2025,                    Image,65,65,24,7,7,2,2,0,0,0,0,0.138461538,0.138461538,          Linkedin,Low
12/13/2025,                    Image,227,227,58,8,8,7,7,0,0,0,0,0.066079295,0.066079295,          Linkedin,Low
12/14/2025,                    Image,196,196,60,7,7,4,4,0,0,0,0,0.056122449,0.056122449,          Linkedin,Low
12/15/2025,                    Image,247,247,56,22,22,7,7,0,0,0,0,0.117408907,0.117408907,          Linkedin,Low
12/16/2025,                    Video,541,541,144,40,40,17,17,1,1,0,0,0.107208872,0.107208872,          Linkedin,Low
12/17/2025,                    Image,414,414,101,18,18,7,7,0,0,0,0,0.060386473,0.060386473,          Linkedin,Low
12/18/2025,                    Image,370,370,70,23,23,11,11,0,0,0,0,0.091891892,0.091891892,          Linkedin,Low
12/19/2025,                    Video,283,283,73,9,9,8,8,0,0,0,0,0.060070671,0.060070671,          Linkedin,Low
12/20/2025,                 Document,232,232,88,81,81,5,5,0,0,0,0,0.370689655,0.370689655,          Linkedin,Medium
12/21/2025,                    Image,157,157,56,16,16,8,8,0,0,0,0,0.152866242,0.152866242,          Linkedin,Low
12/22/2025,                    Video,279,279,73,19,19,9,9,0,0,0,0,0.100358423,0.100358423,          Linkedin,Low
12/23/2025,                    Image,249,249,67,15,15,6,6,0,0,0,0,0.084337349,0.084337349,          Linkedin,Low
12/24/2025,                    Image,255,255,78,14,14,7,7,1,1,0,0,0.08627451,0.08627451,          Linkedin,Low
12/25/2025,                    Image,174,174,35,3,3,2,2,0,0,0,0,0.028735632,0.028735632,          Linkedin,Low
12/26/2025,                    Video,273,273,60,24,24,1,1,0,0,0,0,0.091575092,0.091575092,          Linkedin,Low
12/27/2025,                    Image,215,215,53,9,9,4,4,0,0,0,0,0.060465116,0.060465116,          Linkedin,Low
12/28/2025,                    Video,111,111,41,4,4,2,2,0,0,0,0,0.054054054,0.054054054,          Linkedin,Low
12/29/2025,                    Image,195,195,47,7,7,4,4,0,0,0,0,0.056410256,0.056410256,          Linkedin,Low
12/30/2025,                    Document,174,174,45,52,52,9,9,0,0,0,0,0.350574713,0.350574713,          Linkedin,Medium
12/31/2025,                    Image,206,206,54,15,15,4,4,0,0,0,0,0.09223301,0.09223301,          Linkedin,Low
01/01/2026,                    Document,306,306,102,136,136,13,13,0,0,0,0,0.486928105,0.486928105,          Linkedin,Medium
01/02/2026,                    Image,216,216,52,68,68,3,3,0,0,0,0,0.328703704,0.328703704,          Linkedin,Medium
01/03/2026,                    Image,224,224,58,14,14,2,2,0,0,0,0,0.071428571,0.071428571,          Linkedin,Low
01/04/2026,                    Image,164,164,50,10,10,2,2,0,0,0,0,0.073170732,0.073170732,          Linkedin,Low
01/05/2026,                   Document,204,204,77,125,125,5,5,0,0,0,0,0.637254902,0.637254902,          Linkedin,High
01/06/2026,                    Image,475,475,67,105,105,6,6,2,2,0,0,0.237894737,0.237894737,          Linkedin,Medium
01/07/2026,                    Image,185,185,60,29,29,6,6,0,0,0,0,0.189189189,0.189189189,          Linkedin,Low
01/08/2026,                    Image,376,376,77,48,48,40,40,1,1,0,0,0.236702128,0.236702128,          Linkedin,Medium
01/09/2026,                    Document,312,312,64,22,22,15,15,3,3,0,0,0.128205128,0.128205128,          Linkedin,Low
01/10/2026,                    Image,398,398,115,40,40,83,83,72,72,0,0,0.489949749,0.489949749,          Linkedin,Medium
01/11/2026,                    Image,770,770,275,107,107,98,98,74,74,0,0,0.362337662,0.362337662,          Linkedin,Medium
01/12/2026,                    Image,831,831,331,92,92,110,110,90,90,0,0,0.351383875,0.351383875,          Linkedin,Medium
01/13/2026,                    Document,872,872,267,175,175,85,85,80,80,0,0,0.389908257,0.389908257,          Linkedin,Medium
01/14/2026,                    Image,607,607,159,80,80,13,13,78,78,0,0,0.281713344,0.281713344,          Linkedin,Medium
01/15/2026,                    Video,512,512,132,46,46,88,88,77,77,0,0,0.412109375,0.412109375,          Linkedin,Medium
01/16/2026,                    Image,686,686,232,146,146,99,99,186,186,0,0,0.628279883,0.628279883,          Linkedin,High
01/17/2026,                    Document,525,525,179,185,185,89,89,110,110,0,0,0.731428571,0.731428571,          Linkedin,High
01/18/2026,                    Video,408,408,171,35,35,88,88,75,75,0,0,0.485294118,0.485294118,          Linkedin,Medium
01/19/2026,                   Document,437,437,144,85,85,102,102,141,141,0,0,0.750572082,0.750572082,          Linkedin,High
01/20/2026,                   Document,491,491,150,108,108,84,84,122,122,0,0,0.639511202,0.639511202,          Linkedin,High
01/21/2026,                    Image,406,406,136,51,51,95,95,154,154,0,0,0.738916256,0.738916256,          Linkedin,High
01/22/2026,                    Image,723,723,286,75,75,121,121,158,158,0,0,0.489626556,0.489626556,          Linkedin,Medium
01/23/2026,                    Image,821,821,273,45,45,183,183,272,272,0,0,0.609013398,0.609013398,          Linkedin,High
01/24/2026,                    Image,1017,1017,329,82,82,176,176,237,237,0,0,0.486725664,0.486725664,          Linkedin,Medium
01/25/2026,                    Video,989,989,350,57,57,113,113,140,140,0,0,0.313447927,0.313447927,          Linkedin,Medium
01/26/2026,                    Video,891,891,351,63,63,174,174,213,213,1,1,0.50617284,0.50617284,          Linkedin,High
01/27/2026,                   Document,700,700,265,94,94,100,100,123,123,0,0,0.452857143,0.452857143,          Linkedin,Medium
01/28/2026,                    Image,1050,1050,216,55,55,117,117,101,101,0,0,0.26,0.26,          Linkedin,Medium
01/29/2026,                   Document,497,497,154,63,63,96,96,233,233,0,0,0.788732394,0.788732394,          Linkedin,High
01/30/2026,                    Image,783,783,171,25,25,170,170,286,286,0,0,0.614303959,0.614303959,          Linkedin,High
01/31/2026,                    Image,548,548,142,56,56,101,101,160,160,0,0,0.578467153,0.578467153,          Linkedin,High
02/01/2026,                    Image,686,686,232,40,40,167,167,217,217,0,0,0.618075802,0.618075802,          Linkedin,High
